emoji_list,klasifikasi,makna
😾,keluhan,Wajah kucing cemberut/marah.
😿,keluhan,Wajah kucing menangis.
🙀,keluhan,Wajah kucing terkejut/takut.
🙄,keluhan,"Memutar mata, bosan, tidak percaya."
"🤦‍♀️, 🤦‍♂️, 🤦🏻, 🤦🏻‍♀️, 🤦🏻‍♂️",keluhan,"Facepalm, malu, frustrasi, kecewa."
🤢,keluhan,"Mual, jijik."
🤮,keluhan,"Muntah, jijik."
🤯,keluhan,"Kepala meledak, terkejut, tidak percaya, mind blown."
🤬,keluhan,"Simbol di atas mulut, marah, umpatan."
🖕,keluhan,"Jari tengah, umpatan."
"💀, ☠️",keluhan,"Tengkorak/Wajah mati, bahaya, kematian."
"👹, 👺, 👿, 👻",keluhan,"Setan/Hantu, kejahatan, menakutkan."
💩,keluhan,"Kotoran, hal buruk, menjijikkan."
💥,keluhan,"Ledakan, kemarahan, masalah."
"❌, ❎",keluhan,"Tanda silang, tidak setuju, salah."
SOS,keluhan,"Panggilan bantuan, bahaya."
🏚️,keluhan,"Rumah bobrok, kemiskinan, kehancuran."
🥀,keluhan,"Mawar layu, kesedihan, putus asa."
"‼️, ❗, ❕",saran,"Tanda seru ganda/tunggal, penekanan, penting."
"⏰, 🗓",saran,"Jam, waktu, kalender, tanggal."
"☕, 💧",saran,"Kopi/Minuman, air, tetesan."
"☝, ☝🏻",saran,"Telunjuk ke atas, perhatian, pertanyaan."
"☺, ☺️",saran,"Senyum wajah putih, senyum standar."
"⛹️‍♂️, 🏃‍♀️, 🏊‍♂️, 🚴‍♂️, 🤸‍♂️, 🤸🏻‍♀️, 🧎🏻‍♀️‍➡️, 🧘‍♂️",saran,Aktivitas olahraga/gerakan.
"✊🏻, ✋, ✋🏻, ✌, ✌️",saran,"Tinjuan, Stop/Angkat tangan, Tanda damai/Angka dua."
"👁, 👀, 👄",saran,"Mata/Mulut, melihat/memperhatikan/berbicara."
"👇, 👈, 👈🏻, 👉, 👉🏻, 👋",saran,"Menunjuk, melambaikan tangan, salam."
"👊, 👊🏻",saran,"Tinju, pukulan."
✊🏻,saran,"Tinju terangkat, solidaritas, perlawanan."
👑,saran,"Mahkota, kerajaan."
"👨‍🎓, 👩‍🎓",saran,"Lulusan, Pendidikan."
👩🏻‍🦽,saran,"Pengguna kursi roda, disabilitas."
"💃🏻, 💆‍♀️, 💆🏻‍♀️",saran,"Menari, pijat."
💡,saran,"Bola lampu, ide."
"💸, 🤑",saran,"Uang, kekayaan."
"📍, 📢",saran,"Pin peta, pengeras suara, lokasi, pengumuman."
"📿, 🔑, 🔗, 🕸",saran,"Rosario/Tasbih, kunci, rantai, jaring laba-laba (objek)."
"🇧🇷, 🇮🇩, 🇲🇨",saran,"Bendera, kebangsaan (Brazil, Indonesia, Monako/Polandia)."
"🌀, 🌈, 🌊, 🌏",saran,"Siklon, pelangi, ombak, bumi (alam)."
🎰,saran,"Mesin slot, perjudian."
"🐒, 🐛, 🐻‍❄️, 🐽, 🐋, 🐌, 🦅, 🦋",saran,Berbagai binatang.
🗿,saran,"Patung Moai, objek."
"🚮, 🚼, 🛄, 🛗",saran,"Simbol publik (sampah, bayi, klaim bagasi, lift)."
🤔,saran,"Berpikir keras, ragu-ragu."
🤖,saran,Robot.
🤡,saran,"Wajah badut, kebodohan, humor aneh."
"🤲, 🤲🏻",saran,"Telapak tangan terbuka ke atas, berdoa/memohon."
"🤷‍♂️, 🤷🏻‍♀️",saran,"Mengangkat bahu, tidak tahu, ketidakpedulian."
🫂,saran,"Berpelukan, dukungan."
🫠,saran,"Wajah meleleh, kepanasan, canggung."
🫡,saran,"Memberi hormat, kesetiaan, persetujuan."
🫣,saran,"Mengintip, melihat dengan malu/malas."
🫥,saran,"Wajah kabur/titik, ketidakjelasan, sembunyi."
🫨,saran,"Wajah bergetar, terkejut, kaget, bersemangat."
"🧠, 🧩, 🩴, 🪳",saran,"Otak, puzzle, sandal jepit, kecoak (objek/makhluk)."
"🏳, 🏳️",saran,"Bendera putih, menyerah, gencatan senjata."
"🤏, 🤏🏻, 🤏🏼",saran,"Gerakan tangan 'sejumput', sedikit, kecil, atau ragu."
"🤌🏻, 🤌🏽",saran,"Tangan Italian gesture, pertanyaan, ketidaksetujuan, atau ekspresi khas."
